ID,GenusSpp,GenusSpp_clean
198,Kirchneriella subsolitaria,Kirchneriella subsolitaria
199,Pseudodidymocystis planctonica,Pseudodidymocystis planctonica
200,Cryptomonas tetrapyrenoidosa,Cryptomonas tetrapyrenoidosa
201,Cyanophyte colony,Cyanophyte colony
202,Dolichosprmum circinale,Dolichosprmum circinale
203,Green flagellate,Green flagellate
204,Staurastrum sp,Staurastrum sp
205,Aphanocapsa elegans,Aphanocapsa elegans
206,Goniochloris sculpta,Goniochloris sculpta
207,Microcystis flos aquae,Microcystis flos aquae
208,Planktothrix sp,Planktothrix sp
209,Woronichinia sp,Woronichinia sp
210,Monoraphidium griffithii,Monoraphidium griffithii
211,Chroococcus disprsus,Chroococcus disprsus
212,Chlorogonium elongatum,Chlorogonium elongatum
213,Aulacoseira sp #2,Aulacoseira sp
214,Actinastrum gracillimum,Actinastrum gracillimum
215,Closterium aciculare,Closterium aciculare
216,Dictyospaerium pulchellum ,Dictyospaerium pulchellum 
217,Monoraphidium contortum,Monoraphidium contortum
218,Aphanocapsa delicatissima,Aphanocapsa delicatissima
219,Merismopedia minima,Merismopedia minima
220,Crucigenia fenestrata,Crucigenia fenestrata
221,Desmodesmus armatus var. bicaudatus,Desmodesmus armatus
222,Gloeocystis planctonica,Gloeocystis planctonica
223,Lagerheimia quadriseta,Lagerheimia quadriseta
224,Nephrochlamys rostrata,Nephrochlamys rostrata
225,Oocystis parva ,Oocystis parva 
226,Pediastrum angulosum,Pediastrum angulosum
227,Pediastrum duplex gracilimum,Pediastrum
228,Tetrastrum heteracanthum,Tetrastrum heteracanthum
229,Desmodesmus subspcatus,Desmodesmus subspcatus
230,Scenedesmus obtusus ,Scenedesmus obtusus 
231,Sorastrum americanum ,Sorastrum americanum 
232,Tetraedron trigonum ,Tetraedron trigonum 
233,Merismopedia minima ,Merismopedia minima 
234,Coelastrum microporum,Coelastrum microporum
235,Crucigeniella rectangularis,Crucigeniella rectangularis
236,Desmodesmus intermedius,Desmodesmus intermedius
237,Lagerheimiella genevensis,Lagerheimiella genevensis
238,Lagerheimiella longiseta,Lagerheimiella longiseta
239,Ochromonas sp,Ochromonas sp
240,Chroomonas nordstedtii ,Chroomonas nordstedtii 
241,Aphanocapsa delicatissima ,Aphanocapsa delicatissima 
242,Planktothrix agardhii ,Planktothrix agardhii 
243,Actinastrum hantzschii,Actinastrum hantzschii
244,Closteriiopsis longissima,Closteriiopsis longissima
245,Coronastrum ellipsoideum,Coronastrum ellipsoideum
246,Desmodesmus denticulatus,Desmodesmus denticulatus
247,Scenedesmus quadricauda,Scenedesmus quadricauda
248,Coelospaerium subarcticum,Coelospaerium subarcticum
249,Pseudanabaena sp,Pseudanabaena sp
250,Unid. Coccoids (<5µ),UNK
251,Kirchneriella sp,Kirchneriella sp
252,Oocystis solitaria Whitrock,Oocystis solitaria
253,Tetraedron muticum,Tetraedron muticum
254,Chrysococcus sp,Chrysococcus sp
255,Rhodomonas lens,Rhodomonas lens
256,Rhodomonas minuta,Rhodomonas minuta
257,Chroococcus disprsus ,Chroococcus disprsus 
258,Snowella sp,Snowella sp
259,Synechocystis sp,Synechocystis sp
260,Aulacoseira granulata v. angustissima,Aulacoseira granulata
261,Aulacoseira ambigua,Aulacoseira ambigua
262,centric diatom sp,diatom
263,Epithemia sp,Epithemia sp
264,pennate diatom sp,diatom
265,Monoraphidium circinale,Monoraphidium circinale
266,chlorophyte colony sp,chlorophyte
267,Scenedesmus sempervirens,Scenedesmus sempervirens
268,"chlorophyte unicell, spere  2.5-5um sp",chlorophyte
269,Scenedesmus sp,Scenedesmus sp
270,"chlorophyte unicell, oval  2.5-5um sp",chlorophyte
271,Tetraedron minimum,Tetraedron minimum
272,Tetrastrum staurogeniaeforme,Tetrastrum staurogeniaeforme
273,"chlorophyte unicell, spere  5-7.5um sp",chlorophyte
274,Lagerheimia subsalsa,Lagerheimia subsalsa
275,Dictyospaerium ehrenbergianum,Dictyospaerium ehrenbergianum
276,Cyanocatena sp,Cyanocatena sp
277,cyanophyte tetrad sp,cyanophyte
278,Cyanodictyon sp,Cyanodictyon sp
279,cyanophyte colony sp,cyanophyte
280,"cyanophyte unicell, spere  2.5-5um sp",cyanophyte
281,"cyanophyte unicell, oval/rod  2.5-5um sp",cyanophyte
282,Planktolyngyba limnetica,Planktolyngyba limnetica
283,Microcystis botrys,Microcystis botrys
284,Trachelomonas volvocina,Trachelomonas volvocina
285,"unicell, spere  2.5-5um sp",UNK
286,"unicell, spere  5-7.5um sp",UNK
287,unknown flagellate sp,UNK
288,unknown unicell sp,UNK
289,Goniochloris sp,Goniochloris sp
290,Pseudostaurastrum limneticum,Pseudostaurastrum limneticum
291,Fragilaria capucina,Fragilaria capucina
292,Gyrosigma sp,Gyrosigma sp
293,chlorophyte unicell sp,chlorophyte
294,Botryococcus braunii,Botryococcus braunii
295,cryptophyte sp,cryptophyte sp
296,Cryptomonas cf. ovata,Cryptomonas ovata
297,Microcystis cf. smithii (colony),Microcystis smithii 
298,Pseudanbaena mucicola,Pseudanbaena mucicola
299,Aphanizomenon cf. klebahnii,Aphanizomenon klebahnii
300,Anabaena sp,Anabaena sp
301,Microcystis cf. smithii (unicell),Microcystis smithii 
302,Microcystis cf. smithii (cell pair),Microcystis smithii 
303,Cyanogranis ferruginea,Cyanogranis ferruginea
304,Aphanizomenon issatschenkoi,Aphanizomenon issatschenkoi
305,Phormidium sp,Phormidium sp
306,Pseudanbaena sp,Pseudanbaena sp
307,Trachelomonas hispda,Trachelomonas hispda
308,microflagellate sp,microflagellate sp
309,cf. Gymnodinium sp,Gymnodinium sp
310,xanthophyte unicell sp,xanthophyte
311,Scenedesmus disciformis,Scenedesmus disciformis
312,Pandorina morum,Pandorina morum
313,Didymocystis sp,Didymocystis sp
314,Fusola viridis,Fusola viridis
315,Cryptomonas ovata,Cryptomonas ovata
316,Anabaena cf. crassa,Anabaena crassa
317,Anabaena flos-aquae,Anabaena
318,Microcystis cf. protocystis,Microcystis protocystis
319,Microcystis sp,Microcystis sp
320,Aphanizomenon cf. flos-aquae,Aphanizomenon
321,Pseudanabaena mucicola,Pseudanabaena mucicola
322,Coelomoron/Snowella sp,Snowella sp
323,Cymbella/Encyonema sp,Encyonema sp
324,Pinnularia sp,Pinnularia sp
325,Coenochloris fottii,Coenochloris fottii
326,Schroederia setigera,Schroederia setigera
327,Oocystis sp,Oocystis sp
328,Monoraphidium sp,Monoraphidium sp
329,Closterium sp,Closterium sp
330,Didymocystis fina,Didymocystis fina
331,chlorophyte sp,chlorophyte sp
332,Anabaena mendotae,Anabaena mendotae
333,Microcystis sp(unicell),Microcystis sp
334,Microcystis sp(cell pair),Microcystis sp
335,Spirulina sp,Spirulina sp
336,Cyanocatena planctonica,Cyanocatena planctonica
337,Woronichinia naegeliana (unicell),Woronichinia naegeliana
338,Woronichinia naegeliana (cell pair),Woronichinia naegeliana
339,"cyanophyte unicelll, oval/rod  2.5-5um sp",cyanophyte
340,Woronichinia naegeliana (colony),Woronichinia naegeliana
341,"chlorophyte unicell, oval  5-7.5um sp",chlorophyte
342,Monoraphidium nanum,Monoraphidium nanum
343,Anabaena sproides,Anabaena sproides
344,Nitzschia acicularis,Nitzschia acicularis
345,Aphanizomenon klebahnii,Aphanizomenon klebahnii
346,Planktolyngbya sp,Planktolyngbya sp
347,cyanophyte cell pair sp,cyanophyte
348,Synedra acus/ulna,Synedra acus
349,Quadricoccus ellipticus,Quadricoccus ellipticus
350,Dichotomococcus sp,Dichotomococcus sp
351,"chlorophyte cell pair, oval sp",chlorophyte
352,"chlorophyte cell pair, spere sp",chlorophyte
353,Microcystis/Anabaena sp(cell pair),Anabaena sp
354,Microcystis/Anabaena sp(unicell),Anabaena sp
355,euglenophyte sp,euglenophyte sp
356,Aulacoseira cf. italica,Aulacoseira italica
357,Achnanthdium sp,Achnanthdium sp
358,Aulacoseira granulata,Aulacoseira granulata
359,Koliella/Monoraphidium sp,Monoraphidium sp
360,cf. Coenocystis sp,Coenocystis sp
361,Lagerheimia genevensis,Lagerheimia genevensis
362,Closterium acutum v. variabile,Closterium acutum
363,Treubaria schmidlei,Treubaria schmidlei
364,Nephrocytium sp,Nephrocytium sp
365,Anabaena cf. mendotae,Anabaena mendotae
366,unknown flagellate sp,UNK
367,Microcystis viridis,Microcystis viridis
368,Anabaena lemmermannii,Anabaena lemmermannii
369,chlorophyte cell pair sp,chlorophyte
370,Crucigeniella sp,Crucigeniella sp
371,Cyanodictyon imperfectum,Cyanodictyon imperfectum
372,dinoflagellate sp,dinoflagellate
373,Pseudostaurastrum sp,Pseudostaurastrum sp
374,Dactylococcopsis irregularis,Dactylococcopsis irregularis
375,Aulacoseira distans,Aulacoseira distans
376,Amphiprora sp,Amphiprora sp
377,Mucidospaerium pulchellum,Mucidospaerium pulchellum
378,Tetrastrum elegans,Tetrastrum elegans
379,Mucidospaerium sp,Mucidospaerium sp
380,Pseudopediastrum boryanum,Pseudopediastrum boryanum
381,Stauridium tetras,Stauridium tetras
382,Desmodesmus sp,Desmodesmus sp
383,Hindakia tetrachotoma,Hindakia tetrachotoma
384,chlorophyte flagellate sp,chlorophyte
385,Desmodesmus sempervirens,Desmodesmus sempervirens
386,Oocystis lacustris,Oocystis lacustris
387,Nephrochlamys subsolitaria,Nephrochlamys subsolitaria
388,Pseudodidymocystis fina,Pseudodidymocystis fina
389,Treubaria triappendiculata,Treubaria triappendiculata
390,Tetraedron sp,Tetraedron sp
391,Westella botryoides,Westella botryoides
392,Scenedesmus ovalternus,Scenedesmus ovalternus
393,Chroomonas/Rhodomonas sp,Rhodomonas sp
394,nostocalean filament sp,nostocalean
395,Dolichosprmum cf. mendotae,Dolichosprmum mendotae
396,cyanophyte filament sp,cyanophyte
397,Aphanizomenon flos-aquae/klebahnii,Aphanizomenon
398,Chrysochromulina cf. parva,Chrysochromulina parva
399,Peridinium umbonatum,Peridinium umbonatum
400,Goniochloris contorta,Goniochloris contorta
401,Cryptomonas cf. erosa,Cryptomonas erosa
402,Dolichosprmum/Microcystis sp(cell pair),Microcystis
403,Dolichosprmum/Microcystis sp(unicell),Microcystis
404,Crucigeniella pulchra,Crucigeniella pulchra
405,Dictytospaerium sp,Dictytospaerium sp
406,"chlorophyte unicell, spere  5-7.5um sp",chlorophyte
407,Scenedesmus verrucosus,Scenedesmus verrucosus
408,Coelastrum astroideum,Coelastrum astroideum
409,Desmodesmus smithii,Desmodesmus smithii
410,"chlorophyte unicell, oval  5-7.5um sp",chlorophyte
411,Closterium acutum v. linea,Closterium acutum
412,Desmodesmus cf. bicaudatus,Desmodesmus
413,Desmodesmus serratus,Desmodesmus
414,Koliella longiseta v. tenuis,Koliella longiseta
415,Koliella longiseta v. variabilis,Koliella longiseta
416,Phacotus sp,Phacotus sp
417,"cyanophyte cell pair, oval/rod sp",cyanophyte
418,Desmodesmus sp,Desmodesmus sp
419,Staurastrum tetracerum,Staurastrum tetracerum
420,Oocystis pusilla,Oocystis pusilla
421,Pseudodidymocystis sp,Pseudodidymocystis sp
422,Kephyrion/Pseudokephyrion sp,Kephyrion
423,cf. Sphaerosprmopsis aphanizomenoides,Sphaerosprmopsis aphanizomenoides
424,Chrysochromulina sp,Chrysochromulina sp
425,Pseudostaurastum sp,Pseudostaurastum sp
426,Stephanodiscus niagarae,Stephanodiscus niagarae
427,Coelospaerium sp,Coelospaerium sp
428,Mychonastes sp,Mychonastes sp
429,Dictyospaerium sp,Dictyospaerium sp
430,Desmodesmus quadricauda,Desmodesmus quadricauda
431,Desmodesmus cf. intermedius,Desmodesmus intermedius
432,Hariotina reticulata,Hariotina reticulata
433,Koliella longiseta,Koliella longiseta
434,"chlorophyte unicell, oval 2.5-5um sp",chlorophyte
435,chrysophyte flagellate sp,chrysophyte
436,"chlorophyte unicell, oval 5-7.5um sp",chlorophyte
437,chrysophyte colony sp,chrysophyte
438,Peridiniopsis sp,Peridiniopsis sp
439,Koliella sp,Koliella sp
440,Synechococcus sp,Synechococcus sp
441,"unknown unicell, oval sp",UNK
442,"unknown unicell, spere sp",UNK
443,Gomphonema/Gomphoneis sp,Gomphonema
444,Rhoicospenia abbreviata,Rhoicospenia abbreviata
445,Nitzschia sigmoidea,Nitzschia sigmoidea
446,Gomphonema acuminatum,Gomphonema acuminatum
447,chlorophyte tetrad sp,chlorophyte
448,Dolichosprmum mendotae/sigmoideum,Dolichosprmum mendotae
